Documento	Id
Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .	1
Ao menos 17 pessoas morreram após a queda de um avião de passageiros na República Democrática do Congo . Todos morreram quando o avião , prejudicado pelo mau tempo , não conseguiu chegar à pista de aterrissagem e caiu numa floresta a 15 quilômetros do aeroporto de Bukavu . Ele havia saído da cidade mineira de Lugushwa em direção a Bukavu , numa distância de 130 quilômetros .	2
O ministro da Defesa , Nelson Jobim , informou no fim da noite desta terça-feira que a economista Solange Vieira , de 38 anos , será a nova presidente da Agência Nacional de Aviação Civil ( Anac ) . Braço direito do peemedebista desde sua posse , ela é funcionária de carreira do BNDES e comandou a Secretaria de Previdência Complementar no governo Fernando Henrique Cardoso . Como os diretores de agências têm mandato de cinco anos , só podem sair por renúncia , decisão judicial ou acusação de improbidade administrativa . Uma da três vagas será ocupada pelo major-brigadeiro Allemander Jesus Pereira Filho , indicado para exercer o cargo em substituição a Jorge Luiz Brito Velozo , que pediu demissão no final do mês passado . Cobrado por familiares de vítimas do acidente da TAM e pela oposição , dificilmente o relator irá sugerir o indiciamento de Zuanazzi .	3
Usando telescópios do Observatório Europeu Sul ( ESO ) , astrônomos descobriram um planeta com sete vezes a massa de Júpiter , o mais pesado dos que giram em torno do Sol , e outro , com o dobro desse peso . Ambos os mundos têm massa semelhante à de outros exoplanetas já catalogados , mas não giram em torno de uma estrela - na verdade , giram em torno um do outro . Ray Jayawardhana , da Universidade de Toronto , e Valentin Ivanov , do Observatório Europeu Austral , publicarão a descoberta na ' Science Express ' , site da revista ' Science ' . Durante os últimos cinco anos , os astrônomos identificaram algumas dúzias de objetos com massas inferiores , flutuando livres nas proximidades de regiões de formação estelar próximas , aos quais chamam de ' planemos ' , mas nunca até agora unidos .	4
A seleção brasileira masculina de vôlei , que é treinada por Bernardinho , venceu a Finlândia por 3 sets a 0 , parciais de 25/17 , 25/22 e 25/21 , nesta sexta-feira , em Tampere ( FIN ) , e manteve sua invencibilidade na Liga Mundial-06 . Invicto na competição , o Brasil está tranqüilo na liderança do Grupo B. O time está perto da classificação para a próxima fase . Os dois times voltam a se enfrentar às 12h30 deste sábado , no mesmo ginásio , que normalmente é utilizado para competições de hóquei no gelo .	5
O superintendente regional da Polícia Federal de Rondônia , delegado Joaquim Mesquita , informou nesta sexta-feira , dia 04 , que 23 pessoas foram presas , até o momento , pela Operação Dominó , em Rondônia . A quadrilha é acusada de praticar diversos crimes administrativos , como desvio de recursos públicos , corrupção , prevaricação , concussão , peculato , extorsão , lavagem de dinheiro e venda de sentenças judiciais . Segundo divulgada pela PF , o grupo criminoso desviou desde 2004 cerca de R$ 70 milhões dos cofres públicos , por meio do pagamento de serviços , compras e obras superfaturadas . A polícia também vai abrir nova investigação sobre a participação de desembargadores e conselheiros do Tribunal de Contas no suposto esquema . A PF divulgou que cerca de 300 policiais federais do Amazonas , Distrito Federal , Mato Grosso , Acre e de Rondônia fazem parte das investigações da ' Operação Dominó ' .	6
A aviação israelense atacou 150 alvos na madrugada de hoje no Líbano , enquanto soldados do Estado judeu mataram 10 milicianos do Hisbolá nas aldeias libanesas de Bint Djebeil e Kafr Hula , segundo informações de fontes militares . Os combates se intensificaram hoje após a sangrenta batalha deste domingo , quando a guerrilha xiita do Hezbolá matou 15 pessoas e deixou mais de 200 feridas , entre militares e civis . O Líbano apresentou um pedido formal ao Conselho de Segurança da Organização das Nações Unidas ( ONU ) de uma revisão da proposta de resolução para o fim do conflito no Oriente Médio . A esse respeito , o Conselho de Segurança da ONU debaterá hoje ou amanhã uma proposta de resolução apresentada pelos Estados Unidos e pela França , que contempla um cessar-fogo e inclui também o posicionamento de uma força multinacional no Líbano .	7
"A cidade de São Paulo e alguns municípios do interior paulista foram atingidos na madrugada desta segunda-feira por novos atentados com bombas e tiros contra agências bancárias , bases policiais e prédios públicos . Pelo menos oito ataques foram confirmados . Os ataques desta madrugada , até agora , não deixaram mortos ou feridos . As ações são atribuídas à facção criminosa "" Primeiro Comando da Capital "" ( PCC ) , que já comandou outros ataques em duas ocasiões . Uma bomba de fabricação caseira explodiu em frente ao prédio do Ministério Público Estadual e lojas vizinhas também foram atingidas por estilhaços . Calcula-se em 15 o número de ônibus incendiados , sendo dez na região do ABC e quatro na capital . Os líderes da facção criminosa PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais . O benefício depende de decisão judicial após análise do Ministério Público e os presos poderiam deixar a cadeia no período do dia 9 até 15 de agosto ."	8
Um total de 549 pessoas morreram , 3.043 ficaram feridas e 295 estão desaparecidas em razão das enchentes que recentemente afetaram a Coréia do Norte , informou hoje um jornal pró norte-coreano publicado no Japão , que citou fontes oficiais de Pyongyang . Segundo o jornal ' Choson Sinbo ' , publicado pela Associação de Residentes Coreanos no Japão , que é próxima ao regime comunista da Coréia do Norte , as fortes chuvas que alagaram grande parte desse país na segunda metade de julho provocaram ' muitos danos ' . A agência sul-coreana Yonhap disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país .	9
Quinze voluntários da ONG francesa ' Ação Contra a Fome ( ACF ) ' foram assassinados no nordeste do Sri Lanka , informou hoje um porta-voz da organização . Os crimes aconteceram na cidade de Muttur , que durante as últimas duas semanas vive graves conflitos entre as tropas do Exército do Sri Lanka e a guerrilha dos Tigres de Libertação da Pátria Tâmil ( LTTE ) . Ainda não se sabe quem cometeu os assassinatos dos funcionários da organização francesa . O violento conflito começou em 26 de julho , quando as tropas aéreas do governo O governo diz estar comprometido com a trégua , mas a situação política com os rebeldes , que lutam pela independência do norte e do leste do país , permanece em um impasse .	10
Nove pessoas morreram , sendo três crianças , e outras 25 ficaram feridas nesta segunda-feira em uma explosão registrada em um mercado moscovita , informou a Polícia de Moscou . A maioria dos feridos , entre os quais há quatro com menos de 18 anos , foi hospitalizada . De acordo com a polícia da capital russa , uma bomba causou o incidente . Cerca de dez de carros de bombeiros e mais de uma dezena de ambulâncias foram enviadas ao local , que foi isolado pela polícia .	11
Um atirador matou ao menos 30 pessoas em dois diferentes locais da Universidade Técnica da Virgínia , em Blacksburg ( Virgínia ) , nesta segunda-feira , no pior ataque a tiros contra um campus universitário da história dos Estados Unidos . O incidente , que aconteceu no campus da Virginia Tech , no estado da Virgínia , deixou outros 26 feridos . Segundo informações da polícia , o tiroteio aconteceu em duas etapas , separadas por quase duas horas , em lados opostos do campus de mil hectares . O nome do homem armado não foi divulgado , tampouco se ele era estudante da escola . Por meio de um porta-voz , Bush também comentou o ataque : ' ( O presidente ) ficou horrorizado e sua reação imediata era de preocupação profunda pelas famílias das vítimas , as próprias vítimas , os alunos , os professores e todas as pessoas da Virginia que têm que lidar com este tipo de incidente chocante ' , disse uma porta-voz da Casa Branca . Após os ataques a tiros , todas as entradas do campus foram fechadas , e as aulas foram suspensas . A universidade estabeleceu um local de encontro entre famílias e representantes estudantis . Uma reunião deve ocorrer nesta terça-feira na quadra de basquete da escola . A Universidade de Tecnologia da Virgínia tem 26 mil estudantes e fica a 390 km de Washington .	12
O médico pessoal do argentino Diego Maradona , Alfredo Cahe , revelou nesta segunda-feira que uma recaída da hepatite aguda de que sofre foi o motivo da nova internação do ex-craque . Maradona , 46 , desenvolveu um hepatite tóxica por excesso de consumo de álcool , o que já o manteve internado durante 13 dias antes da primeira alta .	13
A pista principal do Aeroporto Internacional de São Paulo ( Cumbica ) , em Guarulhos , será totalmente reformada em março de 2008 , segundo informações do Ministério da Defesa anunciadas nesta segunda-feira , 6 . O ministro da Defesa , Nelson Jobim , anunciou a reforma que , segundo estudos da Empresa Brasileira de Infra-Estrutura Aeroportuária ( Infraero ) , a reforma poderá ser feita sem que a pista seja interditada . O fechamento da pista , que têm 3,7 km de extensão , está previsto para ocorrer na terceira e última etapa da reforma , que terá três fases . Na primeira etapa , será reformado um terço da pista , em uma das cabeceiras , ficando o restante disponível para pousos e decolagens . Na segunda etapa , a parte concluída será reaberta e a obra passará a ser feita na outra cabeceira . A partir de março , será iniciada a fase final da obra , com a reforma do trecho central .	14
Quase metade dos vôos previstos para decolar na manhã desta terça-feira ( 24 ) no Aeroporto de Congonhas , na Zona Sul de São Paulo , foi cancelada , de acordo com informações da Infraero . A pista principal está fechada há uma semana , desde o acidente com o vôo 3054 da TAM . Quase metade dos vôos previstos para decolar na manhã desta terça-feira ( 24 ) no Aeroporto de Congonhas , na Zona Sul de São Paulo , foi cancelada , de acordo com informações da Infraero . Cumbica opera por instrumentos desde as 7h15 , por causa da visibilidade ruim . Já no Santos Dumont , de onde sai a ponte aérea Rio-São Paulo , uma chegada apresentou alteração de horário e dez foram canceladas , todas vindas de São Paulo .	15
O Brasil lavou a alma após o decepcionante empate com a Colômbia no último domingo e , nesta quarta-feira , aplicou uma sonora goleada por 5 a 0 sobre o Equador no Maracanã . No primeiro tempo o Brasil foi superior . Robinho deu um lindo toque para Maicon que deu um drible da vaca no adversário e cruzou na medida para Love abrir o placar . E o primeiro tempo ficou nisso , na expectativa de que o Brasil poderia , finalmente , mostrar seu melhor futebol na etapa final . Aos 27 , Kaká arriscou de muito longe e Ronaldinho colocou o desviou o chute . A bola que aparentemente iria para fora , mudou de direção e foi parar no fundo da rede . Kaká acertou um belíssimo chute de longe no ângulo aos 31 e fez 3 a 0 . Quando todos achavam que o gol de Kaké tinha sido o grand finale , Robinho fez uma jogada magnífica , a mais bonita do jogo , com cara de Brasil . A 20 cm da linha de fundo ele deu dois dribles humilhantes no zagueiro equatoriano e cruzou para Elano , que fez o quarto , aos 37 . Aos 39 , Kaká chutou fraco e o camisa 1 tomou um frango histórico .	16
O time de Bernardinho derrotou a Rússia por 3 sets a 1 , parciais de 18/25 , 25/23 , 28/26 e 25/22 , em Katowice ( Polônia ) , e alcançou seu sétimo título da Liga Mundial . O placar da partida foi de 3 sets a 1 , com parciais de 18/25 , 25/23 , 28/26 e 25/22 . Foi a quinta conquista seguida nesta competição . Em 2008 , quando a Liga será disputada em Roma , a seleção brasileira tem a chance de , na casa do adversário , igualar a Itália em número de títulos da Liga , conquistando o octacampeonato .	17
O Itaú , segundo maior banco privado do País , obteve lucro líquido de R$ 4,016 bilhões no primeiro semestre desse ano , superando o rival Bradesco e registrando o maior lucro entre bancos privados nos últimos 20 anos . Segundo cálculos da consultoria Economática , o resultado só perde para os R$ 4,032 bilhões ( valores atualizados pelo IPCA ) registrados pelo Banco do Brasil no primeiro semestre do ano passado . ' Esse resultado inclui entre outros efeitos não recorrentes as vendas da participação acionária do banco na empresa de informações de crédito Serasa e da sede do BankBoston em São Paulo e constituição de provisão para créditos de liquidação duvidosa excedente ao mínimo requerido de forma a permitir a absorção de eventuais aumentos de inadimplência ocasionados por forte reversão do ciclo econômico em situações de stress ' , informou o Itaú .	18
A ginasta Jade Barbosa , que obteve três medalhas nos Jogos Pan-Americanos do Rio , em julho , venceu votação na internet e será a representante brasileira no revezamento da tocha olímpica para Pequim-2008 . A tocha passará por vinte países , mas o Brasil não estará no percurso olímpico .	19
Dois terremotos atingiram a região de Niigata , na costa oeste do Japão , nesta segunda-feira ( 16 ) . Os abalos provocaram vazamento de material radioativo na maior usina nuclear do mundo . Ao menos 9 pessoas morreram e cerca de 700 se feriram . Os tremores , de 6.8 graus na escala Richter , destruiram casas e viadutos . Pelo menos 10 mil pessoas fugiram de suas casas na região do epicentro dos tremores . A previsão de dois dias de chuva na área aumenta os temores de novos deslizamentos de terra , que agravariam a devastação . O Japão é um dos países mais atingidos por terremotos no mundo , com um tremor a cada pelo menos cinco minutos . Em Niigata , um terremoto em outubro de 2004 , também de magnitude 6,8 , matou 65 pessoas e deixou mais de 3.000 feridos . Foi o pior do país desde 1995 , quando um tremor de magnitude 7,3 matou mais de 6.400 pessoas na cidade de Kobe .	20
